name_auction	link	serial_number	hours_used	sold_price	sold_date	country
2002 AMMANN AV26E	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9494141&LP=MAT	TFAAV26EY20003025	1.401	4.250	26-9-2013 8:09:00	Netherlands
2002 AMMANN AV26E	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10266584&LP=MAT	TFAAV26EY20002916	1.395	3.750	26-9-2014 2:08:00	Netherlands
2001 AMMANN AV26E	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10266600&LP=MAT	TFAAV26EY10002503	2.371	3.500	26-9-2014 2:08:00	Netherlands
2001 AMMANN AV26E	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10266602&LP=MAT	TFAAV26EY10002536		3.500	26-9-2014 2:08:00	Netherlands
2000 AMMANN AV26E	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9975947&LP=MAT	TFAAV26EYY0002393	630	3.750	9-5-2014 2:29:00	Netherlands
AMMANN AV33	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9494203&LP=MAT	TFAAV33059000130		3.500	26-9-2013 8:09:00	Netherlands
2004 AMMANN AV33E	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10266610&LP=MAT	TFAAV23EY40003814	575	4.000	26-9-2014 2:08:00	Netherlands
2004 AMMANN AV40E	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10098965&LP=MAT	TFAAV40EY40003808		5.500	3-7-2014 9:51:00	Netherlands
2001 AMMANN AV75N	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9978185&LP=MAT	TFAAV75NY10000622	9.057	7.000	9-5-2014 3:15:00	Netherlands
1998 AMMANN AV95	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9494123&LP=MAT	TFAAV95NDV0000236		7.000	26-9-2013 7:25:00	Netherlands
1991 AMMANN DTV213	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9974141&LP=MAT	20899		1.250	9-5-2014 2:37:00	Netherlands
1980 ATLAS 1202D	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9498199&LP=MAT	123M22021		2.750	26-9-2013 10:02:00	Netherlands
1993 ATLAS 1304	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9494591&LP=MAT	136M39655	15.552	5.000	26-9-2013 10:02:00	Netherlands
1994 ATLAS 1404	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9494579&LP=MAT	141M41248	12.423	9.000	26-9-2013 9:57:00	Netherlands
1988 ATLAS 1404	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9967459&LP=MAT	140M31221	12.193	7.000	8-5-2014 8:37:00	Netherlands
1973 ATLAS 1602	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9503355&LP=MAT	16213151974	7.752	6.500	26-9-2013 14:28:00	Netherlands
