name_auction	link	serial_number	sold_price	sold_date	location
2004 DAF 55.220	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4713439&LP=TRK		3.243	29-10-2013 6:34:	Groot-Brittannie
2001 DAF 55.220	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5399159&LP=TRK		2.582	15-8-2014 3:30:	Groot-Brittannie
1998 DAF 75.240ATI	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4726189&LP=TRK		16.507	29-10-2013 10:20:	Groot-Brittannie
1996 DAF 75.240ATI	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5161093&LP=TRK	VIN #XLRAE75RC0E439441	5.250	9-5-2014 2:32:	Nederland
1994 DAF 75.240ATI	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4469283&LP=TRK	VIN #XLRAE75RC0E404915	5.370	10-7-2013 8:48:	Verenigde Arabische Emirate
1998 DAF 75.300	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4393725&LP=TRK	VIN #XLRTE75RCOOE468476	4.092	31-5-2013 9:39:	Groot-Brittannie
1995 DAF 75.300ATI	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5399171&LP=TRK		3.401	15-8-2014 3:58:	Groot-Brittannie
1991 DAF 95.360ATI	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4437233&LP=TRK	Stk #XLRAT48WS0E359912	13.000	20-6-2013 8:52:	Portugal
1989 DAF 800	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4417051&LP=TRK	Stk #XLRAE08CN0L023775	1.250	14-6-2013 2:46:	Nederland
1991 DAF 1700	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4008711&LP=TRK	VIN #XLRAES64NT0L057950	2.250	4-12-2012 3:16:	Spanje
1990 DAF 1700	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4234391&LP=TRK	VIN #XLRAE64NT0LO43362	4.250	20-3-2013 9:54:	Frankrijk
1992 DAF 2300	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5163551&LP=TRK	VIN #XLRAE23HT0E386626	5.000	9-5-2014 5:06:	Nederland
1990 DAF 2300 TURBO	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5163553&LP=TRK	VIN #XLRAE23HT0E348062	6.000	9-5-2014 5:06:	Nederland
1994 DAF 2700	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4469267&LP=TRK	VIN #XLRAE25HS0E395004	3.836	10-7-2013 8:48:	Verenigde Arabische Emirate
